"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"46","RAT06","Methyl","2016-10-21",13,900,"EEG_OL","0.032",9.374349296139,10,4.5406404937509,9.2396885784
"47","RAT06","Methyl","2016-10-21",13,900,"EEG_OR","0.032",15.281520023454,10,3.63386022332208,15.92990632625
"48","RAT06","Methyl","2016-10-21",13,1000,"EEG_FL","0.032",10.7306186029987,8,3.64690844091083,10.54980110982
"49","RAT06","Methyl","2016-10-21",13,1000,"EEG_PL","0.032",9.34227497146375,8,4.37617521020941,10.268881393295
"50","RAT06","Methyl","2016-10-21",13,1000,"EEG_PR","0.032",10.6397700346338,8,3.44888188576915,11.49240587565
"51","RAT06","Methyl","2016-10-21",13,1000,"EEG_OL","0.032",6.59070937909725,8,3.52541119175634,7.353654877725
"52","RAT06","Methyl","2016-10-21",13,1000,"EEG_OR","0.032",13.62210880846,8,2.65306405903781,13.995781544
"53","RAT06","Methyl","2016-10-21",13,1100,"EEG_FL","0.032",10.235204168042,10,2.97301019613569,10.014427611385
"54","RAT06","Methyl","2016-10-21",13,1100,"EEG_FR","0.032",18.2822352410333,3,4.30806110385892,19.7674228621
"55","RAT06","Methyl","2016-10-21",13,1100,"EEG_PL","0.032",11.2993900926556,9,2.14467223925617,11.7377907837
"56","RAT06","Methyl","2016-10-21",13,1100,"EEG_PR","0.032",10.833948017976,10,3.30256500283701,11.6567996824
"57","RAT06","Methyl","2016-10-21",13,1100,"EEG_OL","0.032",8.46992362896,10,2.05627530448993,8.61316103917
"58","RAT06","Methyl","2016-10-21",13,1100,"EEG_OR","0.032",13.7696176438122,9,2.41500028629166,14.3023601872
"59","RAT06","Methyl","2016-10-21",13,1200,"EEG_FL","0.032",11.2012005484786,7,2.62517658265606,10.9252843943
"60","RAT06","Methyl","2016-10-21",13,1200,"EEG_PL","0.032",9.938086916295,8,3.47714098943514,9.793982741725
"61","RAT06","Methyl","2016-10-21",13,1200,"EEG_PR","0.032",9.449625921489,7,4.76146021705804,9.00045019375
"62","RAT06","Methyl","2016-10-21",13,1200,"EEG_OL","0.032",9.36785219269,10,4.53669088945283,8.23426962332
"63","RAT06","Methyl","2016-10-21",13,1200,"EEG_OR","0.032",12.1921664238656,9,3.09611422505412,11.8575925829
"64","RAT06","Methyl","2016-10-21",13,1300,"EEG_FL","0.101",10.109453901975,10,2.23552946609426,10.028505672945
"65","RAT06","Methyl","2016-10-21",13,1300,"EEG_PL","0.101",8.55795032432,9,1.94333625824589,8.87846927246
"66","RAT06","Methyl","2016-10-21",13,1300,"EEG_PR","0.101",10.50833826067,9,3.2391268502744,10.2055394094
"67","RAT06","Methyl","2016-10-21",13,1300,"EEG_OL","0.101",5.4536890483788,10,2.72633502919352,5.903402177125
"68","RAT06","Methyl","2016-10-21",13,1300,"EEG_OR","0.101",12.334009192732,10,3.36703217903271,12.8422805968
"69","RAT06","Methyl","2016-10-21",13,1400,"EEG_FL","0.101",9.804197993455,10,3.80956486218464,10.568020444325
"70","RAT06","Methyl","2016-10-21",13,1400,"EEG_PL","0.101",7.46096296423,10,4.33427998483733,8.616624496895
"71","RAT06","Methyl","2016-10-21",13,1400,"EEG_PR","0.101",11.631606311891,10,2.55052673478141,11.152285935555
"72","RAT06","Methyl","2016-10-21",13,1400,"EEG_OL","0.101",5.1081299020585,10,4.35096807187688,5.638026194235
"73","RAT06","Methyl","2016-10-21",13,1400,"EEG_OR","0.101",13.320888981315,10,2.59816596230484,13.04538834935
"74","RAT06","Methyl","2016-10-21",13,1500,"EEG_FL","0.101",9.32998788068,10,4.26390464139207,9.374786522815
"75","RAT06","Methyl","2016-10-21",13,1500,"EEG_FR","0.101",19.99951741055,2,0.453333854063878,19.99951741055
"76","RAT06","Methyl","2016-10-21",13,1500,"EEG_PL","0.101",8.254533406844,10,5.5130403863599,9.096278290295
"77","RAT06","Methyl","2016-10-21",13,1500,"EEG_PR","0.101",8.24586920799111,9,4.58358020480004,7.58657969063
"78","RAT06","Methyl","2016-10-21",13,1500,"EEG_OL","0.101",6.131031508239,10,4.97382238989127,7.185193383845
"79","RAT06","Methyl","2016-10-21",13,1500,"EEG_OR","0.101",9.51630043864,9,3.29437465839388,8.28071577591
"80","RAT06","Methyl","2016-10-21",13,1600,"EEG_FL","0.101",10.2964910065729,7,1.86683520052872,9.69251778571
"81","RAT06","Methyl","2016-10-21",13,1600,"EEG_PL","0.101",9.20779477578,8,3.34989755308236,10.7376434217
"82","RAT06","Methyl","2016-10-21",13,1600,"EEG_PR","0.101",9.94926268299286,7,2.36867519240332,10.560304459
"83","RAT06","Methyl","2016-10-21",13,1600,"EEG_OL","0.101",8.458450615075,10,5.22515469573279,8.492731157675
"84","RAT06","Methyl","2016-10-21",13,1600,"EEG_OR","0.101",11.528478198201,10,3.80317965239387,12.3253764585
"85","RAT06","Methyl","2016-10-21",13,1700,"EEG_FL","0.101",11.4136610656711,9,2.91334780004204,10.5842557663
"86","RAT06","Methyl","2016-10-21",13,1700,"EEG_PL","0.101",10.7257263279211,9,3.19513801019966,9.57340715915
"87","RAT06","Methyl","2016-10-21",13,1700,"EEG_PR","0.101",12.2245750995978,9,2.82323873355871,11.7243037414
"88","RAT06","Methyl","2016-10-21",13,1700,"EEG_OL","0.101",8.254694362475,10,3.04020190286824,7.625278787335
"89","RAT06","Methyl","2016-10-21",13,1700,"EEG_OR","0.101",11.8141924456667,9,4.47889007301666,12.636148728
"90","RAT06","Methyl","2016-10-21",13,1800,"EEG_FL","0.101",12.2344694301,8,3.62170297952847,11.5486808556
"91","RAT06","Methyl","2016-10-21",13,1800,"EEG_FR","0.101",17.90181605386,5,3.9772080094971,16.9861093299
"92","RAT06","Methyl","2016-10-21",13,1800,"EEG_PL","0.101",12.2581920410689,9,3.53798592969433,12.8444780772
"93","RAT06","Methyl","2016-10-21",13,1800,"EEG_PR","0.101",13.34682229515,8,2.55455001684351,13.64274224955
"94","RAT06","Methyl","2016-10-21",13,1800,"EEG_OL","0.101",9.93116948042875,8,3.98307961967049,10.977184553
"95","RAT06","Methyl","2016-10-21",13,1800,"EEG_OR","0.101",13.6803427308444,9,2.79427741124068,13.4707417667
"96","RAT06","Methyl","2016-10-21",13,1900,"EEG_FL","0.32",10.616060602817,10,3.03113155243846,11.8821466188
"97","RAT06","Methyl","2016-10-21",13,1900,"EEG_FR","0.32",18.447607359,2,5.84555823642925,18.447607359
"98","RAT06","Methyl","2016-10-21",13,1900,"EEG_PL","0.32",10.719722896767,10,3.34218854304295,10.13876462297
"99","RAT06","Methyl","2016-10-21",13,1900,"EEG_PR","0.32",11.251921551881,10,2.24213714605913,11.80198505405
"100","RAT06","Methyl","2016-10-21",13,1900,"EEG_OL","0.32",8.584995459322,10,3.14351722292425,8.04802948818
"101","RAT06","Methyl","2016-10-21",13,1900,"EEG_OR","0.32",12.740992704119,10,3.63490883035759,13.3521130272
"102","RAT06","Methyl","2016-10-21",13,2000,"EEG_FL","0.32",11.347875587926,10,2.99028935424736,12.19377310755
"103","RAT06","Methyl","2016-10-21",13,2000,"EEG_FR","0.32",18.62594159226,5,4.18220526822082,17.8321614075
"104","RAT06","Methyl","2016-10-21",13,2000,"EEG_PL","0.32",11.2673321929633,9,3.25839483668312,10.2522259322
"105","RAT06","Methyl","2016-10-21",13,2000,"EEG_PR","0.32",12.476737775909,10,4.05018616375998,12.53178250195
"106","RAT06","Methyl","2016-10-21",13,2000,"EEG_OL","0.32",9.143560313778,10,3.39773896947756,9.20947358754
"107","RAT06","Methyl","2016-10-21",13,2000,"EEG_OR","0.32",12.659779037138,10,3.91360172357376,12.9995228386
"108","RAT06","Methyl","2016-10-21",13,2100,"EEG_FL","0.32",12.096495049228,10,3.78990519767301,12.2565284632
"109","RAT06","Methyl","2016-10-21",13,2100,"EEG_FR","0.32",22.8272392589,6,3.37713053938158,24.29240853835
"110","RAT06","Methyl","2016-10-21",13,2100,"EEG_PL","0.32",11.246113658114,10,4.27985098730327,11.30862795345
"111","RAT06","Methyl","2016-10-21",13,2100,"EEG_PR","0.32",12.64156849046,10,4.66193842807403,13.6502136264
"112","RAT06","Methyl","2016-10-21",13,2100,"EEG_OL","0.32",8.6589059039607,10,4.62374816331278,8.991297269185
"113","RAT06","Methyl","2016-10-21",13,2100,"EEG_OR","0.32",14.705055332149,10,3.93497973237729,14.42190690795
"114","RAT06","Methyl","2016-10-21",13,2200,"EEG_FL","0.32",10.172301792435,10,3.51804738479474,10.539889952915
"115","RAT06","Methyl","2016-10-21",13,2200,"EEG_FR","0.32",21.266695517925,4,1.91390586654179,21.2542113271
"116","RAT06","Methyl","2016-10-21",13,2200,"EEG_PL","0.32",8.69587613344111,9,4.73360140427193,10.080099233
"117","RAT06","Methyl","2016-10-21",13,2200,"EEG_PR","0.32",9.14806191029556,9,4.70495430391925,10.4609340235
"118","RAT06","Methyl","2016-10-21",13,2200,"EEG_OL","0.32",6.205357675066,10,5.1915529937773,7.15683783217
"119","RAT06","Methyl","2016-10-21",13,2200,"EEG_OR","0.32",12.938015325982,10,3.71389917358285,11.99514081635
"120","RAT06","Methyl","2016-10-21",13,2300,"EEG_FL","0.32",9.508490938839,10,4.01512929126302,10.362872783035
"121","RAT06","Methyl","2016-10-21",13,2300,"EEG_PL","0.32",10.209027171679,10,2.36587004137631,9.96020131612
"122","RAT06","Methyl","2016-10-21",13,2300,"EEG_PR","0.32",10.321228314185,10,2.78030020145537,10.326766171755
"123","RAT06","Methyl","2016-10-21",13,2300,"EEG_OL","0.32",7.933056189341,10,2.51559642676361,7.206521783255
"124","RAT06","Methyl","2016-10-21",13,2300,"EEG_OR","0.32",12.874109824,10,2.36122473492161,12.5541064376
"125","RAT06","Methyl","2016-10-21",13,2400,"EEG_FL","0.32",10.795263220931,10,1.36843617053431,10.2845872535
"126","RAT06","Methyl","2016-10-21",13,2400,"EEG_FR","0.32",22.72626469835,2,0.701684888408818,22.72626469835
"127","RAT06","Methyl","2016-10-21",13,2400,"EEG_PL","0.32",9.960187015038,10,1.76941769387304,9.708910896835
"128","RAT06","Methyl","2016-10-21",13,2400,"EEG_PR","0.32",11.467137278207,10,2.58050542926879,11.94946673145
"129","RAT06","Methyl","2016-10-21",13,2400,"EEG_OL","0.32",7.901257609836,10,2.19891854115143,8.245755169095
"130","RAT06","Methyl","2016-10-21",13,2400,"EEG_OR","0.32",12.896901707941,10,3.72589407379971,13.87034030585
"131","RAT06","Methyl","2016-10-21",13,2500,"EEG_FL","1.012",10.429990076858,10,2.05839671973362,10.096566033
"132","RAT06","Methyl","2016-10-21",13,2500,"EEG_PL","1.012",9.896516965721,10,1.9897135770728,9.719339759395
"133","RAT06","Methyl","2016-10-21",13,2500,"EEG_PR","1.012",11.370890039324,10,3.65551367121133,11.76944737965
"134","RAT06","Methyl","2016-10-21",13,2500,"EEG_OL","1.012",7.923091885453,10,2.36314417398697,8.10659261193
"135","RAT06","Methyl","2016-10-21",13,2500,"EEG_OR","1.012",12.939848570956,10,2.05933067442386,12.37432895
"136","RAT06","Methyl","2016-10-21",13,2600,"EEG_FL","1.012",10.60756672153,8,2.00367597751677,10.9839095442
"137","RAT06","Methyl","2016-10-21",13,2600,"EEG_PL","1.012",10.6792763252375,8,3.50123598208559,10.9380723756
"138","RAT06","Methyl","2016-10-21",13,2600,"EEG_PR","1.012",10.6072187605633,9,1.56628959980671,10.4618867278
"139","RAT06","Methyl","2016-10-21",13,2600,"EEG_OL","1.012",8.41281572058333,9,3.75652387617109,8.2618441523
"140","RAT06","Methyl","2016-10-21",13,2600,"EEG_OR","1.012",11.5662041723678,9,3.6286485373631,12.3583881128
"141","RAT06","Methyl","2016-10-21",13,2700,"EEG_FL","1.012",7.9828166633475,8,1.41013428480637,7.95448178752
"142","RAT06","Methyl","2016-10-21",13,2700,"EEG_PL","1.012",7.6762505148025,8,2.1878587381476,8.16142365512
"143","RAT06","Methyl","2016-10-21",13,2700,"EEG_PR","1.012",9.2076942812525,8,2.4804912491774,9.490547888365
"144","RAT06","Methyl","2016-10-21",13,2700,"EEG_OL","1.012",6.751559707929,10,2.3399780744928,6.6299222944
