"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"45","RAT06","Morphine","2016-07-12",10,2400,"EEG_PL","0.032",11.9021736617159,29,2.68037976759807,12.6237833774
"46","RAT06","Morphine","2016-07-12",10,2400,"EEG_PR","0.032",9.61477529645667,30,2.99416163578622,9.57301570167
"47","RAT06","Morphine","2016-07-12",10,2400,"EEG_OL","0.032",12.656227197003,30,3.16581816554582,13.4636654193
"48","RAT06","Morphine","2016-07-12",10,2400,"EEG_OR","0.032",-12.9267045548573,30,1.96754942531921,-12.65472462305
"49","RAT06","Morphine","2016-07-12",10,2700,"EEG_FL","0.032",13.0254102589165,26,3.85434882693386,12.98148023215
"50","RAT06","Morphine","2016-07-12",10,2700,"EEG_FR","0.032",12.6568842269503,29,4.00909893767275,12.2216779495
"51","RAT06","Morphine","2016-07-12",10,2700,"EEG_PL","0.032",12.9637494625679,24,4.00007977374432,12.8165651106
"52","RAT06","Morphine","2016-07-12",10,2700,"EEG_PR","0.032",10.7969077813096,27,3.84367274941529,11.3204170199
"53","RAT06","Morphine","2016-07-12",10,2700,"EEG_OL","0.032",13.1622312219288,26,3.74660657188704,13.1991430097
"54","RAT06","Morphine","2016-07-12",10,2700,"EEG_OR","0.032",-13.4615628366787,30,2.66125226936469,-13.7807428745
"55","RAT06","Morphine","2016-07-12",10,3000,"EEG_FL","0.032",12.4375694007803,30,4.33429833186148,11.7938474239
"56","RAT06","Morphine","2016-07-12",10,3000,"EEG_FR","0.032",13.3956541512693,30,4.95923673177183,13.17092400795
"57","RAT06","Morphine","2016-07-12",10,3000,"EEG_PL","0.032",12.5379745585603,30,4.18309190038461,11.63952320965
"58","RAT06","Morphine","2016-07-12",10,3000,"EEG_PR","0.032",11.6737448333187,30,4.49119660877645,10.605929132
"59","RAT06","Morphine","2016-07-12",10,3000,"EEG_OL","0.032",13.6594729680157,30,4.53069612942152,12.7898012658
"60","RAT06","Morphine","2016-07-12",10,3000,"EEG_OR","0.032",-14.566166218596,30,2.79374584009285,-13.7707452989
"61","RAT06","Morphine","2016-07-12",10,3300,"EEG_FL","0.032",12.3448561824576,29,3.8838855346451,12.6244111046
"62","RAT06","Morphine","2016-07-12",10,3300,"EEG_FR","0.032",12.814612952551,30,3.82818505994842,13.12321832195
"63","RAT06","Morphine","2016-07-12",10,3300,"EEG_PL","0.032",11.9873299012041,29,4.19092830976443,12.2756630474
"64","RAT06","Morphine","2016-07-12",10,3300,"EEG_PR","0.032",10.3094762123863,30,2.73484039807778,10.1006502676
"65","RAT06","Morphine","2016-07-12",10,3300,"EEG_OL","0.032",11.7235517981143,30,2.93449539957003,11.76014861395
"66","RAT06","Morphine","2016-07-12",10,3300,"EEG_OR","0.032",-14.3924735246487,30,2.90611730824494,-14.0927456304
"67","RAT06","Morphine","2016-07-12",10,3600,"EEG_FL","0.032",11.7418044797624,28,4.27093871790222,12.2644093847
"68","RAT06","Morphine","2016-07-12",10,3600,"EEG_FR","0.032",11.8370059324952,29,3.76816045645736,12.3033053215
"69","RAT06","Morphine","2016-07-12",10,3600,"EEG_PL","0.032",11.608652067255,28,4.32180939232447,12.09291720695
"70","RAT06","Morphine","2016-07-12",10,3600,"EEG_PR","0.032",9.36266993493267,30,4.192736161396,9.82532608098
"71","RAT06","Morphine","2016-07-12",10,3600,"EEG_OL","0.032",11.7552328585927,30,3.93025298815552,11.790314098
"72","RAT06","Morphine","2016-07-12",10,3600,"EEG_OR","0.032",-14.494794025837,30,4.06511182297298,-14.39192489585
"73","RAT06","Morphine","2016-07-12",10,3900,"EEG_FL","0.1",11.2812852915771,29,4.35540944983517,10.774494373
"74","RAT06","Morphine","2016-07-12",10,3900,"EEG_FR","0.1",11.7863991614393,29,4.31341775138173,11.8826510677
"75","RAT06","Morphine","2016-07-12",10,3900,"EEG_PL","0.1",11.4371265491121,29,4.16612369851319,11.2624802742
"76","RAT06","Morphine","2016-07-12",10,3900,"EEG_PR","0.1",9.631272143387,30,3.62869585469875,9.670213187395
"77","RAT06","Morphine","2016-07-12",10,3900,"EEG_OL","0.1",12.5723620504508,29,4.2091306236087,12.1611272299
"78","RAT06","Morphine","2016-07-12",10,3900,"EEG_OR","0.1",-15.04796507601,30,3.28310843472677,-14.79303113905
"79","RAT06","Morphine","2016-07-12",10,4200,"EEG_FL","0.1",11.0358341605443,30,3.90011334790027,10.8383442575
"80","RAT06","Morphine","2016-07-12",10,4200,"EEG_FR","0.1",12.013316304178,30,3.70469536576622,12.41293130535
"81","RAT06","Morphine","2016-07-12",10,4200,"EEG_PL","0.1",11.2445583470233,30,3.80000248100012,11.4327721521
"82","RAT06","Morphine","2016-07-12",10,4200,"EEG_PR","0.1",9.40596375737067,30,4.13978348215205,9.863911652745
"83","RAT06","Morphine","2016-07-12",10,4200,"EEG_OL","0.1",12.1271172589453,30,3.64472937310738,12.0837213171
"84","RAT06","Morphine","2016-07-12",10,4200,"EEG_OR","0.1",-14.9022711413973,30,3.16856406458596,-14.2728478386
"85","RAT06","Morphine","2016-07-12",10,4500,"EEG_FL","0.1",11.1759454928312,25,2.67159958869994,11.550715633
"86","RAT06","Morphine","2016-07-12",10,4500,"EEG_FR","0.1",11.4673947709356,25,3.07779919110378,11.3985194472
"87","RAT06","Morphine","2016-07-12",10,4500,"EEG_PL","0.1",11.1729682809692,25,2.61223259153521,11.1480138008
"88","RAT06","Morphine","2016-07-12",10,4500,"EEG_PR","0.1",9.36137375034833,30,3.63455424688838,9.15493068794
"89","RAT06","Morphine","2016-07-12",10,4500,"EEG_OL","0.1",12.4482705091752,29,4.13365999084324,12.0418646924
"90","RAT06","Morphine","2016-07-12",10,4500,"EEG_OR","0.1",-14.8291716137487,30,3.38996830050172,-14.61407490635
"91","RAT06","Morphine","2016-07-12",10,4800,"EEG_FL","0.1",10.3176022456909,23,3.10429509497183,10.212467298
