"","numDF","denDF","F-value","p-value"
"Delta.comp",4,16,1.31210222995002,0.307598572320107
"Theta.comp",4,16,2.21556982625759,0.113312509842522
"Alpha.comp",4,16,3.72874979591074,0.0250154204666632
"Beta.comp",4,16,8.53305950768107,0.00069400744514525
"Gamma.comp",4,16,15.2174358816861,2.58408844816538e-05
